"범죄별","발생지역별","시점","범죄발생지역",
"형법범","충북","2020 년","29971",
"형법범","충남","2014 년","38475",
"형법범","충남","2015 년","39230",
"형법범","충남","2016 년","37423",
"형법범","충남","2017 년","36893",
"형법범","충남","2018 년","39723",
"형법범","충남","2019 년","40207",
"형법범","충남","2020 년","39948",
"형법범","전북","2014 년","30971",
"형법범","전북","2015 년","34146",
"형법범","전북","2016 년","31738",
"형법범","전북","2017 년","29043",
"형법범","전북","2018 년","30835",
"형법범","전북","2019 년","31582",
"형법범","전북","2020 년","32485",
"형법범","전남","2014 년","32903",
"형법범","전남","2015 년","34731",
"형법범","전남","2016 년","32484",
"형법범","전남","2017 년","29412",
"형법범","전남","2018 년","32365",
"형법범","전남","2019 년","33176",
"형법범","전남","2020 년","33422",
"형법범","경북","2014 년","44001",
"형법범","경북","2015 년","45126",
"형법범","경북","2016 년","44872",
"형법범","경북","2017 년","42499",
"형법범","경북","2018 년","43203",
"형법범","경북","2019 년","48478",
"형법범","경북","2020 년","47638",
"형법범","경남","2014 년","60972",
"형법범","경남","2015 년","71645",
"형법범","경남","2016 년","67682",
"형법범","경남","2017 년","64458",
"형법범","경남","2018 년","65424",
"형법범","경남","2019 년","70595",
"형법범","경남","2020 년","74756",
"형법범","제주","2014 년","16905",
"형법범","제주","2015 년","17314",
"형법범","제주","2016 년","17813",
"형법범","제주","2017 년","16908",
"형법범","제주","2018 년","17764",
"형법범","제주","2019 년","17435",
"형법범","제주","2020 년","18829",
"재산범죄","계","2014 년","617119",
"재산범죄","계","2015 년","622126",
"재산범죄","계","2016 년","573445",
"재산범죄","계","2017 년","542336",
"재산범죄","계","2018 년","576937",
"재산범죄","계","2019 년","627430",
"재산범죄","계","2020 년","659058",
"재산범죄","서울","2014 년","141448",
"재산범죄","서울","2015 년","139703",
"재산범죄","서울","2016 년","130097",
"재산범죄","서울","2017 년","122995",
"재산범죄","서울","2018 년","125729",
"재산범죄","서울","2019 년","133564",
"재산범죄","서울","2020 년","134003",
"재산범죄","부산","2014 년","50570",
"재산범죄","부산","2015 년","49670",
"재산범죄","부산","2016 년","45408",
"재산범죄","부산","2017 년","43673",
"재산범죄","부산","2018 년","45536",
"재산범죄","부산","2019 년","50307",
"재산범죄","부산","2020 년","55641",
"재산범죄","대구","2014 년","30337",
"재산범죄","대구","2015 년","30348",
"재산범죄","대구","2016 년","25420",
"재산범죄","대구","2017 년","24368",
"재산범죄","대구","2018 년","25896",
"재산범죄","대구","2019 년","30454",
"재산범죄","대구","2020 년","31781",
"재산범죄","인천","2014 년","28995",
"재산범죄","인천","2015 년","31102",
"재산범죄","인천","2016 년","30828",
"재산범죄","인천","2017 년","28714",
"재산범죄","인천","2018 년","32555",
"재산범죄","인천","2019 년","35354",
"재산범죄","인천","2020 년","36748",
"재산범죄","광주","2014 년","22201",
"재산범죄","광주","2015 년","20177",
"재산범죄","광주","2016 년","16543",
"재산범죄","광주","2017 년","14857",
"재산범죄","광주","2018 년","16086",
"재산범죄","광주","2019 년","17756",
"재산범죄","광주","2020 년","18187",
"재산범죄","대전","2014 년","21519",
"재산범죄","대전","2015 년","20371",
"재산범죄","대전","2016 년","17645",
"재산범죄","대전","2017 년","16291",
"재산범죄","대전","2018 년","16837",
"재산범죄","대전","2019 년","18462",
"재산범죄","대전","2020 년","19131",
"재산범죄","울산","2014 년","13383",
"재산범죄","울산","2015 년","8556",
"재산범죄","울산","2016 년","7304",
"재산범죄","울산","2017 년","7172",
"재산범죄","울산","2018 년","7770",
"재산범죄","울산","2019 년","7945",
"재산범죄","울산","2020 년","8618",
"재산범죄","세종","2014 년","1205",
"재산범죄","세종","2015 년","1452",
"재산범죄","세종","2016 년","1587",
"재산범죄","세종","2017 년","1815",
"재산범죄","세종","2018 년","2037",
